time/total_timesteps,time/fps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/loss,train/n_updates,train/learning_rate,train/clip_fraction,train/value_loss,train/clip_range
114688,1097,33.6934202,896,548.62,104,-0.0009776329388841987,0.00042515574,-0.009550094604492188,-0.2769584422931075,140.84835815429688,3580,0.001,0.0,375.2555809020996,0.2
114816,1098,33.6934202,897,548.62,104,-0.00943025597371161,0.0111933015,0.9544937610626221,-0.7844683863222599,0.22189007699489594,3584,0.001,0.07421875,0.8793562613427639,0.2
114944,1098,36.85254558,898,542.18,104,-0.0024213152355514467,0.0034532095,-1.0665020942687988,-0.7523311153054237,21.732492446899414,3588,0.001,0.0078125,213.33810830116272,0.2
115072,1099,36.85254558,899,542.18,104,0.0005273822462186217,3.77018e-05,0.03968733549118042,-0.4248421676456928,90.1493148803711,3592,0.001,0.0,352.4981122016907,0.2
115200,1099,35.94547028,900,534.6,104,-0.005687936209142208,0.011108715,0.9598805904388428,-0.7601915299892426,0.1021423488855362,3596,0.001,0.1171875,0.6345924772322178,0.2
115328,1100,35.94547028,901,534.6,104,-0.0015282347449101508,0.0010133446,0.42133820056915283,-0.7235652171075344,279.95263671875,3600,0.001,0.001953125,671.957685470581,0.2
115456,1101,36.12550274,902,526.75,104,-0.004201370116788894,0.003021169,0.9710782766342163,-0.7245046757161617,2.4802682399749756,3604,0.001,0.00390625,9.818214893341064,0.2
115584,1101,36.0818504,903,518.67,104,-0.002994402777403593,0.0037883776,0.6774348616600037,-0.7544650733470917,165.04196166992188,3608,0.001,0.009765625,510.8314046859741,0.2
115712,1102,36.0818504,904,518.67,104,-0.0008553714724257588,0.00018533738,0.8729536533355713,-0.6462566964328289,139.61643981933594,3612,0.001,0.0,265.98815536499023,0.2
115840,1103,36.50439213999999,905,511.34,105,-0.005143308255355805,0.006471784,0.9766473174095154,-0.7163476310670376,1.054511547088623,3616,0.001,0.013671875,3.8141770511865616,0.2
115968,1103,36.50439213999999,906,511.34,105,-0.002101656165905297,0.0046382193,0.5011761784553528,-0.7421007119119167,106.13147735595703,3620,0.001,0.00390625,532.5731973648071,0.2
116096,1104,36.611335329999996,907,504.14,105,-0.0006856023683212698,0.0047862814,0.64109206199646,-0.7910463139414787,1.651379942893982,3624,0.001,0.017578125,4.410193637013435,0.2
116224,1104,36.611335329999996,908,504.14,105,-0.00015555572463199496,0.0023666262,0.5720158815383911,-0.6591370888054371,360.6375427246094,3628,0.001,0.0,679.3887805938721,0.2
